still всё_ещё
gotta должен
whatever любой
wanna хочу
stuff вещи
damn проклятие
bring приносить
kid дитя
daddy папочка
hang вешать
weird странный
crane кран
grace благодать
appreciate ценить
especially особенно
besides помимо
involved участвует
swear ругаться
honor честь
admit признаться
fair справедливый
court корт
stick палка
buddy приятель
jail тюрьма
kinda вроде
ridge гребень
tape лента
deserve заслуживать
cute милый
concerned обеспокоенный
mention упомянуть
owe быть_должным
sake ради
conversation беседа
rid избавлять
doubt сомневаться
cops копы
willing готовый
island остров
ridiculous смешной
charge обвинять
apparently по-видимому
faith вера
kick пинать
grab схватить
bunch связка
consider учитывать
incredible невероятный
attorney адвокат
belle красавица
outta сбился
gosh черт_возьми
opportunity возможность
dating знакомства
divorce развод
fired уволенный
pop хлопнуть
sudden внезапный
charges обвинения
witness свидетель
trial испытание
emergency чрезвычайная_ситуация
butt задница
crap дерьмо
lots лоты
assume предполагать
justice справедливость
nope неа
pants брюки
freak ненормальный
gee кусок
folks близкие
convince убеждать
rough грубый
ought должен
insane безумный
aware осведомленный
tight в_обтяжку
pal приятель
surgery хирургия
deacon диакон
goddamn проклятый
beyond вне
jerk придурок
barely едва
within в
screw винт
dumb тупой
terrific потрясающий
van фургон
desperate отчаянный
pathetic жалкий
settle селиться
mentioned упомянул
due должный
passion страсть
stayed остался
tie галстук
hired принят_на_работу
upon на
champagne шампанское
taught учил
loose свободный
holy святой
duty долг
convinced убеждённый
according согласно
blind слепой
bride невеста
custody под_стражей
thoughts мысли
advantage преимущество
eventually в_итоге
bout бой
schedule график
capable способный
clue ключ
appointment встреча
deserves заслуживает
shame стыд
investigation изучение
merry веселый
precious драгоценный
victim жертва
funeral похороны
dean декан
couch диван
miserable убогий
engaged увлеченный
treated обрабатывали
hire наем
gorgeous великолепный
thanksgiving благодарение
revenge месть
spare запасной
pray молиться
affair роман
jury жюри
roger жить
picking сбор
blah бла
handsome красивый
lousy паршивый
circumstances обстоятельства
trey тройка
cab такси
threatened под_угрозой
bud бутон
frankly откровенно_говоря
decent приличный
messed испорченный
slayer убийца
insurance страхование
belongs принадлежит
stock акции
guarantee гарантия
wise мудрый
cartman возчик
borrow поручительство
property свойство
fabulous поразительный
screaming кричать
giles джайлз
devil дьявол
fellow парень
bail залог
non не
dawn рассвет
campaign кампания
spading сполдинг
tied связанный
dumped сброшен
rude грубый
crack трескаться
bothering беспокоит
willow ива
meantime тем_временем
gimme дай_мне
chase гнаться
cast в_ролях
cancer рак
buried похороненный
hug обнимать
prom выпускной_вечер
intend намереваться
crew экипаж
terms термины
guts кишки
basement подвал
purse кошелек
wound ранить
engagement помолвка
jeez боже
thrilled взволнованный
sue сью
rex рекс
awesome классно
entirely полностью
