come_out выступать
turn_out оказалось
worked_out удаваться
carry_out выполнять
turn_up находить
put_up смириться
blow_up взрывать
cheer_up взбодрить
told_off отчитывать
told_out выгонять
told_over пересказывать
set_up настраивать
make_up выдумывать
set_out изложить
make_out разглядеть
put_off снять
put_out тушить
turn_off выключить
turn_away отвернуться
take_in обманывать
take_down снимать
take_off взлетать
take_over перенимать
went_out выходить
fell_out упасть
drop_out выбывать
break_out прорыв
get_out убираться
go_off уходить
get_off выходить
go_in взлетать
get_in участвовать
go_on продолжать
get_on ладить
go_up подниматься
get_up вставать
drive_up подъехать
fall_down упасть
fall_over споткнуться
broke_up расставаться
keep_on продолжать
carry_on заниматься
