ancestors предки
remain оставаться
charcoal уголь
looter мародёр
drag_on тянуться
remnant остаток
transition переход
contemporary современный
bygone в_прошлом
immediate немедленный
abrupt резкий
fleeting мимолётный
immense огромный
infinitesimal бесконечно_малый
moderate умеренный
preceding предшествующий
profound глубокий
topical актуальный
tremendous огромный
turbulent бурный
heritage наследие
yield урожай
reign царствование
tsar царь
propose предполагать
mourn оплакивать
typhoid тиф
mine шахта
orphan сирота
outhouse сарай
prayer молитва
strict строгий
obey повиноваться
chaperon сопровождать
governess гувернантка
sewing шитьё
cane палка
answer_back дерзить
dunce болван
fall_behind отставать
realm область
compound усложнять
tinge привкус
rumor слух
doubt сомнения
cuisine кухня
masculinity мужественность
badger дразнить
implore умолять
drudgery тяжёлая_работа
interminable бесконечный
perceive воспринимать
throng толпа
intrepid бесстрашный
accost обращаться
reticent сдержанный
brief краткий
rambling бессвязный
panhandler попрошайничество
howling вой
corporal капрал
deed поступок
sermon проповедь
sin грех
imminent неизбежный
