agriculture сельско-хозяйственный
burrow нора
crop урожай
decline упадок
den берлога
disaster катастрофа
extinction вымирание
genetics генетика
habitat место_обитания
pesticides ядохимикаты
predator хищник
prey добыча
repercussions последствие
scent чутьё
species виды
soil почва
vermin паразит
weed сорняк
arid засушливый
domesticated прирученный
endangered вымирающие
extinct вымершие
native родной
resistant стойкий
vulnerable уязвимый
eradicate искоренять
evolve разваиваться
hibernate вподать_в_спячку
tolerate терпеть
