council совет
seek искать
resourceful находчивый
degree степень
preferably предпочтительно
willing готовый
challenging трудный
launch запускать
provide обеспечивать
hold держать
thankless неблагодарный
accommodation квартира
required требуемый
extensively широко
handle управлять
various разный
commensurate соразмерный
essential необходимый
application заявление
resume резюме
submit представлять
arrange обеспечивать
refuse отказываться
included_in входить_в
campaign кампания
in_order_to в_целях
provide обеспечивать
decide решение
public_office гос_организация
wonder хотелось_бы_знать
take_care заниматься
